Timestamp,Prediction 1,Prediction 2,Prediction 3,Alert
02:06:37,potter's wheel (9.9%),neck brace (5.7%),"shoe shop, shoe-shop, shoe store (3.2%)",SAFE
02:06:37,potter's wheel (11.4%),neck brace (6.4%),"shoe shop, shoe-shop, shoe store (2.8%)",SAFE
02:06:38,potter's wheel (13.1%),neck brace (5.6%),"shoe shop, shoe-shop, shoe store (2.6%)",SAFE
02:06:38,potter's wheel (10.6%),neck brace (5.6%),"shoe shop, shoe-shop, shoe store (3.7%)",SAFE
02:06:38,potter's wheel (11.3%),neck brace (6.9%),oxygen mask (3.0%),SAFE
02:06:38,potter's wheel (11.0%),neck brace (7.0%),oxygen mask (3.0%),SAFE
02:06:39,potter's wheel (13.3%),neck brace (6.2%),oxygen mask (2.8%),SAFE
02:06:39,potter's wheel (7.9%),neck brace (7.2%),oxygen mask (3.0%),SAFE
02:06:39,potter's wheel (9.2%),neck brace (7.0%),"shoe shop, shoe-shop, shoe store (3.1%)",SAFE
02:06:39,potter's wheel (9.3%),neck brace (6.7%),"jersey, T-shirt, tee shirt (2.9%)",SAFE
02:06:40,potter's wheel (9.1%),neck brace (5.5%),"shoe shop, shoe-shop, shoe store (3.7%)",SAFE
02:06:40,potter's wheel (10.8%),neck brace (5.5%),"shoe shop, shoe-shop, shoe store (3.8%)",SAFE
02:06:40,potter's wheel (8.7%),neck brace (5.9%),"shoe shop, shoe-shop, shoe store (3.4%)",SAFE
02:06:40,potter's wheel (8.0%),neck brace (5.9%),"shoe shop, shoe-shop, shoe store (3.8%)",SAFE
02:06:41,potter's wheel (9.5%),neck brace (7.3%),"shoe shop, shoe-shop, shoe store (3.3%)",SAFE
02:06:41,potter's wheel (6.7%),neck brace (6.7%),"shoe shop, shoe-shop, shoe store (3.5%)",SAFE
02:06:41,potter's wheel (7.4%),neck brace (6.2%),"shoe shop, shoe-shop, shoe store (4.0%)",SAFE
02:06:41,potter's wheel (9.4%),neck brace (6.8%),"shoe shop, shoe-shop, shoe store (4.2%)",SAFE
02:06:42,neck brace (6.5%),potter's wheel (6.3%),"shoe shop, shoe-shop, shoe store (4.2%)",SAFE
02:06:42,potter's wheel (8.7%),neck brace (7.1%),"shoe shop, shoe-shop, shoe store (4.7%)",SAFE
02:06:42,potter's wheel (8.5%),neck brace (4.3%),"diaper, nappy, napkin (3.6%)",SAFE
02:06:42,potter's wheel (10.9%),"shoe shop, shoe-shop, shoe store (8.3%)",neck brace (6.0%),SAFE
02:06:43,potter's wheel (11.8%),"diaper, nappy, napkin (10.0%)",neck brace (4.0%),SAFE
02:06:43,"diaper, nappy, napkin (20.5%)",shower cap (9.4%),neck brace (4.3%),SAFE
02:06:43,"shoe shop, shoe-shop, shoe store (8.7%)",neck brace (6.8%),"diaper, nappy, napkin (5.5%)",SAFE
02:06:43,stretcher (29.7%),neck brace (21.0%),oxygen mask (7.8%),SAFE
02:06:44,"shoe shop, shoe-shop, shoe store (43.4%)",knee pad (2.8%),neck brace (2.0%),SAFE
02:06:44,"shoe shop, shoe-shop, shoe store (18.6%)",neck brace (7.4%),potter's wheel (2.7%),SAFE
02:06:44,"shoe shop, shoe-shop, shoe store (26.6%)",neck brace (8.2%),shower cap (2.4%),SAFE
02:06:44,"shoe shop, shoe-shop, shoe store (24.3%)",neck brace (12.7%),go-kart (6.4%),SAFE
02:06:45,"shoe shop, shoe-shop, shoe store (26.5%)",neck brace (9.0%),potter's wheel (2.5%),SAFE
02:06:45,"shoe shop, shoe-shop, shoe store (35.6%)",neck brace (9.5%),potter's wheel (2.5%),SAFE
02:06:45,"shoe shop, shoe-shop, shoe store (25.6%)",neck brace (12.6%),potter's wheel (3.5%),SAFE
02:06:46,"shoe shop, shoe-shop, shoe store (19.4%)",neck brace (13.2%),potter's wheel (3.7%),SAFE
02:06:46,"shoe shop, shoe-shop, shoe store (21.4%)",neck brace (15.0%),go-kart (4.2%),SAFE
02:06:46,"shoe shop, shoe-shop, shoe store (33.8%)",neck brace (11.0%),potter's wheel (3.0%),SAFE
02:06:46,"shoe shop, shoe-shop, shoe store (27.7%)",neck brace (11.6%),go-kart (3.4%),SAFE
02:06:46,"shoe shop, shoe-shop, shoe store (25.9%)",neck brace (13.2%),potter's wheel (3.0%),SAFE
