Time,Detected Labels,Status,Snapshot
20:42:09,"drum, membranophone, tympan (19.2%); potter's wheel (8.9%); drumstick (7.9%)",SAFE,N/A
20:42:10,"drum, membranophone, tympan (20.8%); drumstick (11.7%); steel drum (4.3%)",SAFE,N/A
20:42:10,"drumstick (9.4%); drum, membranophone, tympan (5.9%); marimba, xylophone (3.1%)",SAFE,N/A
20:42:10,"drumstick (6.9%); drum, membranophone, tympan (5.8%); potter's wheel (5.4%)",SAFE,N/A
20:42:10,"drum, membranophone, tympan (9.1%); potter's wheel (4.5%); drumstick (4.3%)",SAFE,N/A
20:42:11,"drum, membranophone, tympan (15.7%); drumstick (11.6%); marimba, xylophone (5.4%)",SAFE,N/A
20:42:11,"drum, membranophone, tympan (11.8%); drumstick (9.9%); marimba, xylophone (5.6%)",SAFE,N/A
20:42:11,"drumstick (9.8%); drum, membranophone, tympan (8.7%); marimba, xylophone (3.6%)",SAFE,N/A
20:42:11,"potter's wheel (6.7%); drumstick (5.1%); drum, membranophone, tympan (4.0%)",SAFE,N/A
20:42:12,"drum, membranophone, tympan (7.7%); potter's wheel (7.4%); drumstick (6.0%)",SAFE,N/A
20:42:12,"potter's wheel (6.4%); drum, membranophone, tympan (6.1%); drumstick (5.5%)",SAFE,N/A
20:42:12,"potter's wheel (7.0%); drum, membranophone, tympan (6.3%); drumstick (6.1%)",SAFE,N/A
20:42:12,"potter's wheel (7.7%); drumstick (6.8%); drum, membranophone, tympan (6.0%)",SAFE,N/A
20:42:13,"potter's wheel (10.9%); drumstick (7.0%); drum, membranophone, tympan (4.8%)",SAFE,N/A
20:42:13,"potter's wheel (8.3%); drumstick (7.7%); drum, membranophone, tympan (5.1%)",SAFE,N/A
20:42:13,"potter's wheel (8.2%); drumstick (7.6%); drum, membranophone, tympan (5.6%)",SAFE,N/A
20:42:13,"potter's wheel (8.9%); drumstick (8.6%); drum, membranophone, tympan (6.5%)",SAFE,N/A
20:42:14,"drumstick (9.1%); potter's wheel (6.2%); drum, membranophone, tympan (5.2%)",SAFE,N/A
20:42:14,"drumstick (8.6%); potter's wheel (8.0%); drum, membranophone, tympan (5.2%)",SAFE,N/A
20:42:14,"drumstick (9.2%); potter's wheel (5.5%); drum, membranophone, tympan (4.7%)",SAFE,N/A
20:42:14,"drumstick (10.2%); drum, membranophone, tympan (5.0%); potter's wheel (4.1%)",SAFE,N/A
20:42:14,"drumstick (10.5%); drum, membranophone, tympan (6.0%); potter's wheel (4.8%)",SAFE,N/A
